,Food,Size,Calories,Fat ,Carbs,Protein
0,Meat Me Calzone,,1536,86,118,77
1,Italian Sausage Stromboli,,855,45,75,47
2,Chicago Fire Calzone,,1132,48,129,47
3,Chicago Seven Calzone,,1028,41,114,54
4,Spinach Artichoke Calzone,,1078,47,120,47
5,Chicken Philly Stromboli,,665,23,65,48
6,Chicago Seven Stromboli,,821,43,68,42
7,Grilled Chicken Wrap with Lite Ranch,,516,19.5,58.2,45.5
8,Chicken Wrap,,586,21,62,36
9,Chicken Rustica,,515,21,16,51
10,Harvest Salad with Balsamic Chicken,,591,35,34,34
11,Honey Chipotle BBQ Best Chicken Wings,,1095,76,40,64
12,California Chicken Sandwich,,674,27,52,54
13,Crispy Chicken Salad,,785,53,49,36
14,Blackened Chicken Wrap,,529,20,50,30
15,Chicken Pesto Panini,,749,40,38,57
16,Spicy Spinach Dip,,1022,63,84,30
17,Artichoke Cheese Dip,,1082,74.1,82.5,28.6
18,Artichoke Dip,,288,18.75,21.5,7.25
19,Double Deckeroni ,Large,622,39,44,26
20,Sicilian Pepperoni Rolls,1 Roll,366,19.25,33.75,15.25
21,Sicilian Pepperoni Rolls,6 Rolls,1801,108,150,18.1
22,Meat Me Pizza,,325,15,29,16
23,The Classic Pizza ,Medium,543,32,44,23
24,Ranch Dressing,,240,24,3,1
25,House Italian Salad Dressing,,190,19,6,0
26,Blue Cheese Dressing,,402,41,1,4.6
27,Oriental Chicken Salad,,910,31,105,55
28,Mediterranean Salad,,172,12,12,3
29,Antipasto Salad,,435,40,8,12.5
30,House Salad,,104,5,11,4
31,Old Chicago Chopped Salad,,583,30,31,46
32,Spicy Italian Panini,,757,46,36,51
33,Plain Burger,,632,32,41,42
34,Classic Club,,828,42,74,39
