,Food,Portion Size,Calories,Fat,Carbs,Protein
0,WHOLE WING (EACH),1,210,14,8,13
1,LEG (EACH),1,160,9,5,14
2,THIGH (EACH),1,280,21,7,14
3,BREAST (EACH),1,380,20,16,35
4,HANDCRAFTED TENDERS - SPICY OR MILD,3 Pieces,445,21,29,38
5,,5 Pieces,741,34,48,63
6,HANDCRAFTED TENDERS - BLACKENED,3 Pieces,170,2,2,26
7,,5 Pieces,283,3,3,43
8,HANDCRAFTED NUGGETS®,6 Pieces,225,14,15,11
9,,9 Pieces,338,20,23,16
10,POPCORN SHRIMP,1/4 lb,390,25,28,14
11,BUTTERFLY SHRIMP*,8 Pieces,420,25,34,16
12,CAJUN FISH FILET*,3 Pieces,380,19,37,16
13,CATFISH FILET*,2 Pieces,460,29,27,21
14,CHICKEN TENDER PO' BOY SANDWICH - SPICY OR MILD,1,600,33,55,25
15,CHICKEN TENDER PO' BOY SANDWICH - BLACKENED,1,580,32,39,39
16,POPCORN SHRIMP PO' BOY SANDWICH,1,660,41,61,16
17,CAJUN FISH PO' BOY SANDWICH*,1,750,52,75,23
18,CATFISH PO' BOY SANDWICH*,1,800,51,59,30
19,LOADED CHICKEN WRAP,1,310,12,35,14
20,BISCUIT,1,207,13,20,3
21,CAJUN FRIES,Regular,268,14,33,4
22,,Large,804,42,97,10
23,CORN ON THE COB* COBBET (1),Regular,210,6,34,0
24,CORN ON THE COB* COBBET (3),Large,630,18,102,0
25,MACARONI & CHEESE*,Regular,219,10,24,8
26,,Large,655,28,70,24
27,MASHED POTATOES WITH CAJUN GRAVY,Regular,110,4,18,3
28,,Large,330,12,54,9
29,RED BEANS & RICE,Regular,247,16,22,8
30,,Large,610,40,51,19
31,CAJUN RICE*,Regular,183,6,24,9
32,,Large,548,18,71,28
33,GREEN BEANS,Regular,55,2,7,3
34,,Large,167,6,22,8
35,COLE SLAW,Regular,140,10,12,1
36,,Large,420,30,36,3
37,ONION RINGS*,Regular,278,19,25,3
38,,Large,555,38,50,6
39,JALAPEÑO,1,5,0,1,0
40,CHICKEN BISCUIT,1,490,26,47,17
41,SAUSAGE BISCUIT,1,540,36,41,13
42,EGG BISCUIT,1,510,29,41,13
43,EGG & SAUSAGE BISCUIT,1,690,45,43,20
44,BACON BISCUIT,1,400,25,37,8
45,SAUSAGE & GRAVY BISCUIT,1,510,33,42,10
46,GRITS,1,370,5,80,5
47,HASH ROUNDS,1,360,20,41,3
48,COFFEE,1,0,0,0,0
49,ORANGE JUICE,1,140,0,33,2
50,COKE,22 oz,270,0,73,0
51,DIET COKE,22 oz,0,0,<1,0
52,SPRITE,22 oz,260,0,71,0
53,FANTA STRAWBERRY,22 oz,300,0,82,0
54,FANTA ORANGE,22 oz,290,0,80,0
55,HAWAIIAN PUNCH,22 oz,310,0,83,0
56,MOUNTAIN DEW,22 oz,290,0,77,0
57,PEPSI,22 oz,200,0,70,0
58,DIET PEPSI,22 oz,0,0,0,0
59,DR PEPPER,22 oz,260,0,72,0
60,UNSWEETENED TEA,22 oz,0,0,0,0
61,SWEET TEA,22 oz,180,0,16,0
62,MINUTE MAID LEMONADE,22 oz,270,0,71,0
63,BAYOU BUFFALO™,1 oz,74,0,16,2
64,BOLDBQ™,1 oz,45,0,10,0
65,BLACKENED RANCH,1 oz,118,13,2,1
66,BUTTERMILK RANCH,1 oz,150,15,3,0
67,MARDI GRAS MUSTARD™,1 oz,95,9,5,1
68,SWEET HEAT®,1 oz,73,0,19,0
69,TARTAR,1 oz,140,15,1,0
70,CREOLE COCKTAIL,1 oz,30,0,7,0
71,JAMBALAYA*,Regular,190,9,17,8
72,,Large,640,32,58,29
73,BBQ CHICKEN PO' BOY SANDWICH*,1,340,7,49,24
74,CHICKEN LIVERS*,10 Pieces,1190,80,65,54
75,BAGUETTE*,1,120,2,22,4
76,HOT CINNAMON APPLE PIE,1,236,16,35,3
77,MISSISSIPPI MUD CAKE*,1,260,7,50,3
78,MARDI GRAS CHEESECAKE*,1,320,21,29,5
79,EDWARDS SLICED PECAN PIE*,1,410,21,52,4
80,SWEET POTATO PIE*,1,350,19,41,4
81,HANDCRAFTED TENDER - MILD,1,153,7,12,13
82,LEG - MILD,1,160,9,5,14
83,HANDCRAFTED NUGGETS®,4,150,9,10,7
