,Food,Size,Calories,Fat ,Carbs,Protein,Price
0,Sizzlis,,500,36,28,17,See Prices
1,Breakfast Burritos,,360,15,42,10,See Prices
2,Breakfast Bowls,,260,20,3,15,See Prices
3,Hoagie Shorti 6 Inch,,100,8,0,4,See Prices
4,Hoagie Classic 10 Inch,,150,12,0,6,See Prices
5,Bagel ,,330,3,61,14,See Prices
6,Bagel with Cream Cheese Cucumber Tomato,,400,13,59,11,See Prices
7,Bagel with Cream,,390,13,58,12,See Prices
8,Bagel with Butter,,320,7,55,9,See Prices
9,Oatmeal Small,,240,3.5,47,5,See Prices
10,Oatmeal Medium,,330,5,67,7,See Prices
11,Oatmeal Large,,450,7,90,9,See Prices
12,Chicken Noodle Small,,140,4.5,15,10,See Prices
13,Chicken Noodle Medium,,190,6,20,14,See Prices
14,Chicken Noodle Large,,250,9,27,19,See Prices
15,Chicken Noodle Family,,140,4.5,15,10,See Prices
16,Baked Potato Cheddar Bacon Small,,290,19,19,10,See Prices
17,Baked Potato Cheddar Bacon Medium,,400,27,26,14,See Prices
18,Baked Potato Cheddar Bacon Large,,540,36,36,19,See Prices
19,Baked Potato Cheddar Bacon Family,,1210,80,80,43,See Prices
20,Chicken Corn Chowder Small,,210,13,29,5,See Prices
21,Chicken Corn Chowder Medium,,310,19,41,7,See Prices
22,Chicken Corn Chowder Large,,420,26,57,10,See Prices
23,Chicken Corn Chowder Family,,940,58,127,22,See Prices
24,New England Clam Chowder Small,,210,14,16,6,See Prices
25,New England Clam Chowder Medium,,310,20,23,10,See Prices
26,New England Clam Chowder Large,,420,26,31,13,See Prices
27,New England Clam Chowder Family,,920,58,69,28,See Prices
28,Broccoli Cheddar Small,,220,16,11,7,See Prices
29,Broccoli Cheddar Medium,,300,22,15,9,See Prices
30,Broccoli Cheddar Large,,430,31,21,"13
",See Prices
31,Broccoli Cheddar Family,,930,68,46,29,See Prices
32,Mac Cheese Small,,350,17,34,15,See Prices
33,Mac Cheese Medium,,490,24,48,22,See Prices
34,Mac Cheese Large,,670,33,65,29,See Prices
35,Mac Cheese Family,,1460,71,143,65,See Prices
36,Mashed Potatoes Small,,340,20,34,5,See Prices
37,Mashed Potatoes Medium,,470,27,47,7,See Prices
38,Mashed Potatoes Large,,630,36,63,10,See Prices
39,Mashed Potatoes Family,,1400,81,140,22,See Prices
40,Meatballs Small,,240,19,10,6,See Prices
41,Meatballs Medium,,480,38,20,13,See Prices
42,Meatballs Large,,730,57,31,19,See Prices
43,Meatballs Family,,1940,153,82,51,See Prices
44,Chicken or Beef Quesadilla,,440,19,44,22,See Prices
45,Cheese Quesadilla,,260,7,42,6,See Prices
46,Salad,,390,20,34,20,See Prices
47,Chocolate Chip Cookie,,400,17,59,5,See Prices
48,Stuffed Pretzels,,310,3,61,11,See Prices
49,Bagel Melt,,490,14,59,31,See Prices
50,Frozen Cappuccino 12 Oz,,650,31,87,8,See Prices
51,Frozen Cappuccino 24 Oz,,610,32,70,11,See Prices
52,Iced Latte 12 Oz,,100,4,10,6,See Prices
53,Iced Latte 24 Oz,,130,5,13,8,See Prices
54,Hot Latte or Hot Chocolate 12 Oz,,220,1,48,2,See Prices
55,Hot Latte or Hot Chocolate 16 Oz,,440,2,96,4,See Prices
56,Milkshake 12 Oz,,790,41,91,14,See Prices
57,Milkshake 24 Oz,,1030,54,119,19,See Prices
58,Flurricane 16 Oz,,1020,54,119,17,See Prices
59,Coffee 16 Oz,,0,0,0,0,See Prices
60,Coffee 24 Oz,,0,0,0,0,See Prices
